,ID,D,E_Brent,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
0,0,1,20,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
1,1,1,25,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
2,2,1,30,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
3,3,1,35,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
4,4,1,40,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
5,5,1,45,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
6,6,1,50,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
7,7,1,55,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
8,8,1,60,0.06,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
9,9,1,20,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
10,10,1,25,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
11,11,1,30,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
12,12,1,35,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
13,13,1,40,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
14,14,1,45,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
15,15,1,50,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
16,16,1,55,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
17,17,1,60,0.155,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
18,18,1,20,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
19,19,1,25,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
20,20,1,30,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
21,21,1,35,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
22,22,1,40,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
23,23,1,45,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
24,24,1,50,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
25,25,1,55,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
26,26,1,60,0.25,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
27,27,1,20,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
28,28,1,25,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
29,29,1,30,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
30,30,1,35,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
31,31,1,40,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
32,32,1,45,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
33,33,1,50,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
34,34,1,55,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
35,35,1,60,0.43,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0
36,36,1,20,0.06,0,0,0,0,1,0,-53223.0411,0,0,0,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
37,37,1,25,0.06,0,0,0,0,1,0,-53223.0411,0,-105701.6019,-105701.6019,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
38,38,1,30,0.06,0,0,0,0,1,0,-53223.0411,0,-95881.5591,-95881.5591,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
39,39,1,35,0.06,0,0,0,0,1,0,-53223.0411,0,-85698.9529,-85698.9529,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
40,40,1,40,0.06,0,0,0,0,1,0,-53223.0411,0,-75485.822,-75485.822,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
41,41,1,45,0.06,0,0,0,0,1,0,-53223.0411,0,-65148.3628,-65148.3628,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
42,42,1,50,0.06,0,0,0,0,1,0,-53223.0411,0,-54739.0886,-54739.0886,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
43,43,1,55,0.06,0,0,0,0,1,0,-53223.0411,0,-44377.4046,-44377.4046,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
44,44,1,60,0.06,0,0,0,0,1,0,-53223.0411,0,-33887.3358,-33887.3358,0.0,646604.3134,209877.2954,905959.0539,32.89761992000001
